state_id,name
1,Aguascalientes
1,Asientos
1,Calvillo
1,Cosío
2,Ensenada
2,Mexicali
2,Playas de Rosarito
2,San Quintín
3,Comondú
3,La Paz
3,Loreto
3,Los Cabos
4,Hopelchén
4,Palizada
4,Seybaplaya
4,Tenabo
5,Torreón
5,Viesca
5,Villa Unión
5,Zaragoza
6,Armería
6,Colima
6,Comala
6,Coquimatlán
7,Chilón
7,Cintalapa
7,Coapilla
7,Comitán de Domínguez
8,Nuevo Casas Grandes
8,Ocampo
8,Ojinaga
8,Praxedis G. Guerrero
9,Álvaro Obregón
9,Azcapotzalco
9,Benito Juárez
9,Coyoacán
10,Rodeo
10,Súchil
10,San Bernardo
10,San Dimas
11,León
11,Manuel Doblado
11,Moroleón
11,Ocampo
12,Acapulco de Juárez
12,Acatepec
12,Ahuacuotzingo
12,Ajuchitlán del Progreso
13,Zacualtipán de Ángeles
13,Zapotlán de Juárez
13,Zempoala
13,Zimapán
14,Etzatlán
14,Gómez Farías
14,Guachinango
14,Guadalajara
15,Acambay de Ruíz Castañeda
15,Acolman
15,Aculco
15,Almoloya de Alquisiras
16,Tangamandapio
16,Tangancícuaro
16,Tanhuato
16,Tarímbaro
17,Amacuzac
17,Atlatlahucan
17,Axochiapan
17,Ayala
18,Acaponeta
18,Ahuacatlán
18,Amatlán de Cañas
18,Bahía de Banderas
19,Santa Catarina
19,Santiago
19,Vallecillo
19,Villaldama
20,La Reforma
20,La Trinidad Vista Hermosa
20,Loma Bonita
20,Mártires de Tacubaya
21,Tlaltenango
21,Tlanepantla
21,Tlaola
21,Tlapacoya
22,San Joaquín
22,San Juan del Río
22,Tequisquiapan
22,Tolimán
23,Bacalar
23,Benito Juárez
23,Cozumel
23,Felipe Carrillo Puerto
24,Vanegas
24,Venado
24,Villa de Arista
24,Villa de Arriaga
25,Ahome
25,Angostura
25,Badiraguato
25,Choix
26,Ónavas
26,Aconchi
26,Agua Prieta
26,Alamos
27,Balancán
27,Cárdenas
27,Centla
27,Centro
28,Victoria
28,Valle Hermoso
28,Tula
28,Tampico
29,Xicohtzinco
29,Yauhquemehcan
29,Zacatelco
29,Ziltlaltépec de Trinidad Sánchez Santos
30,Álamo Temapache
30,Acajete
30,Acatlán
30,Acayucan
31,Abalá
31,Acanceh
31,Akil
31,Baca
32,Apozol
32,Apulco
32,Atolinga
32,Benito Juárez
