municipality_id,name,
1,20000,Zona Centro
2,20700,Guadalupe
3,20800,Calvillo Centro
4,20460,Cosío Centro
5,22750,Francisco Zarco
6,21850,Ampliación Poniente
7,22703,Villas del Mar
8,22910,Benito Juárez
9,23620,Longoria
10,23303,El Cañón
11,23880,Miramar
12,23580,Buenavista
13,24600,San Luis
14,24205,El Borbotón
15,24460,Costa Blanca
16,24732,Emiliano Zapata
17,27013,Villas San Agustín
18,27488,San Juan de Villanueva (Villanueva)
19,26636,Conrado Arizpe
20,26465,Patiño
21,28306,Independencia
22,28017,Parque Royal
23,28450,Real Nogueras
24,28400,La Sidra
25,29943,Jetja 1
26,30400,Las Garzas
27,29653,Buenavista (Matasanos)
28,30019,Esthela Morales
29,31700,Nuevo Casas Grandes Centro
30,33323,El Pedregoso
31,32884,Cerro Blanco
32,32793,Siete Álamos
33,1000,San Ángel
34,2020,San Marcos
35,3100,Insurgentes San Borja
36,4100,Del Carmen
37,35764,Tierra Blanca
38,34920,San Juan de Michis
39,35463,Jacales
40,34670,San Ignacio de Abajo
41,37689,Providencia
42,36496,La Torrecilla
43,38827,Los Álamos
44,37641,La Haciendita
45,39300,Petaquillas
46,41427,Xilotlancingo
47,41133,El Planchado
48,40730,La Unión
49,43200,Chililiapa
50,42190,Las Moneras
51,43837,El Bosque
52,42336,Las Limas
53,46503,Loma Dorada
54,49120,Gómez Farias
55,46800,Guachinango
56,44967,Patria
57,50300,El Triángulo
58,55875,La Gitana
59,50370,Encinillas
60,51863,La Barranca
61,59920,El Progreso
62,59759,Valle Verde
63,59230,San Isidro
64,58893,El Cuitzillo Chico
65,62643,Barreal
66,62840,San Mateo
67,62953,Progreso
68,62713,La Joya Escondida
69,63403,El Vigal
70,63910,Tetitlán
71,63963,La Otra Banda
72,63729,San Francisco
73,66117,La Fama 1
74,67308,Cieneguilla
75,65436,Fresnillo
76,65350,Villaldama Estación
77,71083,Río Tigre
78,69508,El Moral
79,68402,Emiliano Zapata
80,71631,El Naranjo
81,72600,Tlaltenango
82,75600,Tlanepantla
83,73220,Ayahualco
84,73285,Zintlapal
85,76553,La Guadalupana
86,76803,Villas los Pirules
87,76750,Villas del Sol
88,76615,Rancho Viejo
89,77900,El Pedregal
90,77500,Supermanzana 1 Centro
91,77610,Militar
92,77104,Noh-Cah
93,78503,Huertecillas
94,78926,San Juan
95,78950,Buenavista
96,78493,El Águila
97,81210,Miguel Hidalgo
98,81610,Batamotos
99,80505,La Amapa
100,81709,Ejidal
101,85740,Ónavas
102,84923,Tres Álamos
103,84213,Los Valles
104,85760,Álamos Centro
105,86930,Periférico
106,86460,San Rafael
107,86750,Frontera Centro
108,86000,Portal del Agua
109,87000,Ciudad Victoria Centro
110,87510,Las Palmas
111,87913,Álvaro Obregón (La Noria)
112,89000,Tampico Centro
113,90780,Santa Filomena
114,90450,La Noria
115,90740,La Libertad
116,90590,Guadalupe
117,92730,Estero del Ídolo
118,91320,Mazatepec
119,91420,Acatlán
120,96000,Acayucan Centro
121,97825,Mukuiche
122,97380,Ticopó
123,97990,Akil Centro
124,97452,Tixkuncheil
125,99940,De Abajo
126,99921,Agua Blanca
127,99730,Los Pinos
128,99780,El Durazno
